Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
17,Gryffindor,Freddie,Ward,2001-05-31,Left,58796,651.198748557801,-4.82077085289314,-6.51198748557801,4.357,-468.28472320963,626.372886030786,-5.20667204151253,935.579290307767,3.0632066243706,0.173614548314639,-254.92326,212.37
18,Ravenclaw,Tyrone,Cooley,2000-03-09,Right,15578,-151.088208733465,6.87185733787258,1.51088208733465,7.906,645.447451201425,607.44272905267,6.31744631522287,1091.05483100221,11.7087773901434,0.260556304701281,-226.76896,11.22
19,Hufflepuff,Elden,Scholl,1999-04-18,Right,56909,458.12702614748,6.98158854254025,-4.58127026147481,5.686,-579.668590917532,403.327690260553,4.26580975422675,1052.03523515267,3.45651898937974,0.0702055342612155,-242.99904,3.81
20,Gryffindor,Mel,Marion,1998-12-20,Left,,703.553547547384,-3.85821648946306,-7.03553547547384,5.866,-433.250358632158,610.732669581676,-5.0295232893672,944.972385628935,3.03589067029907,0.162501286422163,-252.72548,215.2
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,31882,689.356141731406,-5.76315776392788,-6.89356141731406,5.942,-16.519432386502,,-1.97444689343495,961.112827894589,4.43196325604122,1.56277953428391,-251.21916,136.89
22,Ravenclaw,Joseph,Coulter,2001-08-22,Left,39873,-264.678310998,5.94995105418922,2.64678310998,6.829,745.465665715443,626.823331563651,4.88673322097254,1079.54939456147,9.31809848751649,0.364387072133435,-228.79359,-1.72
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,44987,673.16710968125,0.131516305497443,-6.7316710968125,9.421,-709.696428383468,461.896734189505,0.531822868963626,1073.58520356542,6.346026797399,1.74776975515653,-245.83067,23.46
24,Ravenclaw,Esther,Li,2001-08-02,Left,79537,-511.226438356373,7.96318354922316,5.11226438356373,5.769,419.75559897762,663.157592339586,7.08960779029416,1035.42480432929,7.28842837401632,0.236052278483776,-228.83988,-6.4
25,Hufflepuff,Lucio,Wray,1999-01-21,Left,46505,508.161188352895,6.11314406193578,-5.08161188352895,3.284,-387.555981349314,407.31994051087,5.14206521525008,1037.08043325293,5.10915518043662,1.33003620810079,-244.66168,19.76
26,Slytherin,Araceli,Flint,1998-03-01,Left,66246,-419.022085219114,-6.6552296176977,4.19022085219114,-6.006,-322.019869231814,408.627999647536,4.83789747048606,1039.94349889809,8.73903914651857,0.0227922432695476,-253.04749,-91.44
27,Hufflepuff,Georgianna,Wooten,2000-01-18,Right,32991,612.593032368419,4.1663347538867,-6.12593032368419,5.142,-528.809527467734,455.114740686915,1.87999795163583,1047.78882703602,6.67068889349535,0.604617316244031,-245.14028,76.2
28,Gryffindor,Mimi,Baird,1997-05-22,Left,40401,236.888879001588,-5.07775100460256,-2.36888879001588,5.517,-544.758908883055,604.096378305493,-4.955319631839,977.896778064129,4.37712870245423,-1.55104519954008,-249.38786,173.06
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,48832,458.34203794322,3.33178602897923,-4.5834203794322,5.794,-357.144380864186,327.384626903064,8.57596219618346,1051.34482839652,4.05501708400676,0.217736483725984,-243.73112,-100.06
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,48984,600.081349988439,3.46452701880712,-6.00081349988438,6.881,-678.523643999898,387.235626046074,5.68741322272218,1069.24271780568,6.44991339582194,1.95181729491038,-244.6194,-36.54
31,Gryffindor,Kermit,Craft,2000-11-18,Left,58112,514.341937285116,-2.83205465721033,-5.14341937285116,5.754,-685.171029600631,618.441408595401,-7.00395286683452,957.091137731852,1.7322365656983,0.358595307279506,-252.33586,223.8
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,56259,-301.483372511165,4.47059638171208,3.01483372511165,6.545,887.027852368525,650.595404441207,5.72855191608931,1075.09382867306,9.55055684197315,-1.19755638132624,-229.64984,-35.06
33,Hufflepuff,Julie,Connolly,1998-05-29,Right,54477,413.574983959884,4.90753681713384,-4.13574983959884,3.259,-363.096593203458,325.814384105765,4.60407325227611,1052.1052266729,1.60878352093456,0.454366377573654,-246.1036,-48.86
34,Ravenclaw,Granville,Mulligan,2001-05-08,Right,71169,-766.519901035648,4.98546710874463,7.66519901035648,,670.61241482802,587.536738862266,3.48279429686442,1042.59833671737,2.44291297320066,,-230.82054,-38.07
35,Ravenclaw,Hannah,Canady,1998-11-06,Right,44450,-279.001091874534,7.19809510370177,2.79001091874534,6.977,251.71444657265,587.622826734389,2.45665228339711,1046.83552154198,4.68513291431802,0.00705123907418218,-231.20615,50.89
36,Hufflepuff,Lucien,Burt,1998-06-03,Right,43212,569.21378233487,6.73867210996589,-5.6921378233487,5.141,-383.952859851326,379.04195960795,2.76473901036191,1038.42980069893,1.57565924746596,1.64220583163823,-244.35366,30.91
37,Hufflepuff,Julia,Montez,2001-05-04,Right,59927,384.373140027078,6.69089958223973,-3.84373140027078,6.617,-715.221554788346,456.354063607468,4.84774705495831,1053.71522393324,5.76033259607611,1.09595246602464,-241.35887,15.52
38,Slytherin,Wendell,Ratcliff,1997-08-14,Right,40775,-619.35157150666,-8.88756369633965,6.1935157150666,-6.92,-267.622165636018,376.540238261967,6.83245553874494,1056.15741718324,11.7082966783009,-0.0477741468298526,-251.37265,-125.38
39,Gryffindor,Angela,Han,1999-09-02,Right,36947,595.093516815514,-4.53996262590087,-5.95093516815514,5.825,-526.992894168597,599.597045283261,-4.45471426158186,,4.16373587386892,0.472048383911866,-251.84998,204.58
40,Gryffindor,Ben,Southard,2001-03-22,Left,52334,494.083695769108,-4.85324238352532,-4.94083695769108,5.422,-413.782621537924,603.401917074411,-5.21307199644834,944.046465685009,1.7817419059763,-1.4169669987055,-252.49781,189.06
41,Hufflepuff,Orville,Hebert,1996-11-19,Right,29293,486.415030627446,5.47530651269882,-4.86415030627446,6.614,-438.343978896076,482.062058099697,4.61613835836708,1029.82501169173,7.08815079085154,-1.89066478609193,-240.69411,70.68
42,Ravenclaw,Julianne,Forrest,1999-04-23,Left,41965,-591.878579651734,6.60358482240227,5.91878579651734,3.217,388.555080094071,573.218861958568,6.56901835324569,1042.53625440808,7.5688070053258,-0.71000939579185,-230.27083,2.56
43,Hufflepuff,Rosanna,Rinaldi,1997-07-22,Right,44741,432.560899233385,3.85290804710868,-4.32560899233385,2.268,-275.751747450157,350.305274111387,,1041.56087784998,6.3019460277332,0.743064374381246,-245.25254,-64.69
44,Hufflepuff,Jerald,Woodworth,1998-12-17,Left,51536,440.087311167008,5.17227586192746,-4.40087311167008,4.542,-601.187980409521,385.014932278543,3.47150815986983,1059.5120016992,4.01348414089433,-0.14404084283874,-245.0047,-1.25
45,Ravenclaw,Letha,Kim,2000-05-17,Right,73385,-415.02632894926,7.25460947651404,4.1502632894926,6.916,489.102450376947,667.290411215351,7.92004561305478,1058.22876271223,9.54907999569931,-1.65935037780368,-227.92076,-28.93
46,Ravenclaw,Laverne,Burrow,2000-11-04,Left,59112,-390.712166626083,4.37210501241037,3.90712166626083,4.588,473.152727258913,568.787793715975,6.34034050264015,1044.90015833162,6.52342875938036,1.14669094708011,-233.10451,-38.71
47,Hufflepuff,Chelsey,Barney,1997-06-09,Right,52190,496.174849567047,4.66038716113737,-4.96174849567047,5.139,-507.796567106796,354.732731022883,5.00544029540787,1057.4527988027,3.38950141976781,1.05884275767883,-245.05353,-38.96
48,Slytherin,Lorna,Graves,2000-03-28,Left,68570,-387.744832450211,-4.60461996997515,3.87744832450211,-6.945,-419.164293733665,403.71291151909,1.72055017703211,1058.58047982959,7.63755796220965,-0.404527662773705,-253.98429,-54.3
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,53157,642.06680788778,-3.73158339020903,-6.4206680788778,5.537,-430.841386905113,592.057808489473,-5.67953298765549,952.480006729545,1.62417401399858,-2.00245088687224,-253.20894,195.93
50,Gryffindor,Israel,Roach,1999-03-23,Right,42836,420.628162251208,-5.9963914081999,-4.20628162251208,4.066,-490.670972846108,586.566366945129,-4.60893118798668,958.520348288449,4.01193846739693,-0.692184121801902,-253.0686,177.52
51,Slytherin,Gene,Southerland,1997-11-18,Right,47880,-508.096166244053,-5.31511730648574,5.08096166244053,-7.952,-460.669745945531,373.290032228253,2.21194880165756,1080.11499216324,9.81955771652313,-1.21110457184726,-253.02188,-63.61
52,Slytherin,Adelina,Bivins,1999-08-28,Right,40993,-659.074509100483,-1.38978156973899,6.59074509100483,-4.653,-707.637017319912,362.346302236389,2.77475015369989,1066.574422834,6.85598615985971,1.22817183271053,-247.19169,-40.26
53,Ravenclaw,Tabatha,Lu,2001-10-14,Right,65458,-518.080829169774,4.40127767820694,5.18080829169774,6.267,412.677103817635,640.91032938948,,1045.85488715073,9.03694511660979,-0.0586039300623706,-229.72009,-37.21
54,Gryffindor,Rena,Conners,2000-01-03,Left,44262,442.529780798038,-4.15991882890903,-4.42529780798038,5.766,-725.118156234964,569.311607849583,-6.49937412610709,951.287328024282,0.808714747359359,0.413113608205952,-252.47465,207.58
55,Slytherin,Sallie,Olivares,2001-05-08,Left,68337,-240.580838054659,-8.46687231716156,2.40580838054659,-3.055,-362.505603449395,462.162594083848,7.08437667856258,1031.40358296412,11.6007286096271,-0.606269997825454,-252.16026,-100.81
56,Hufflepuff,Kirby,Toscano,1998-11-20,Left,37503,655.782294695032,4.0137610550581,-6.55782294695032,,-565.208393079364,488.018511446239,3.69779482957282,1044.33442790846,8.27520702841892,0.596372028309298,-243.60572,65.23
57,Slytherin,Tammi,Dexter,1997-03-15,Right,54555,-400.741893680196,-4.14914775764888,4.00741893680196,-4.711,-479.519923618225,408.282672566848,3.13922729307782,1055.26160342592,8.41370476149025,-0.432314027954281,-250.70782,-50.1
58,Hufflepuff,Santo,Call,1999-11-09,Right,18882,679.94411487518,4.74980294584605,-6.7994411487518,2.991,-361.694707058028,381.054579293513,5.28448397682355,1038.24156551337,7.0245707626287,-1.33243943703194,-245.8258,41.31
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,45361,579.267301389315,-4.81267468578213,-5.79267301389316,5.589,-286.938245110562,592.320612107805,-3.2307414012838,974.10816575166,4.82052564289322,0.602047949653184,-251.28892,150.33
60,Slytherin,Vincenzo,Seaton,1997-05-29,Right,51703,-461.409339490848,-5.88728277434862,4.61409339490848,-6.869,-334.182727088437,395.512966961744,3.50709205368178,1057.48047613082,9.40852551222681,-1.10789282521277,-252.45353,-68.8
61,Ravenclaw,Patti,Montano,1998-03-24,Left,44262,-352.500130962937,5.50164962838054,3.52500130962937,6.285,757.775542692951,654.498745704936,4.3774327672934,1077.10759777061,9.75255329292801,1.53988190145589,-228.81557,7.38
62,Hufflepuff,Bobby,Ezell,1997-07-18,Left,62083,432.235531177995,4.76095568734879,-4.32235531177995,5.584,-443.256143385685,333.656019505347,6.01013818239738,1056.62808420555,1.83710154114092,0.502924607283863,-244.47797,-79.62
63,Hufflepuff,Valentine,Benavidez,1996-12-13,Right,70512,191.662007040413,4.71218732012848,-1.91662007040413,5.615,-810.146251588535,363.356905195908,2.83533288884522,1084.66509192613,2.26717105263064,-0.561443916120191,-244.06118,-57.35
64,Hufflepuff,Dollie,Gibson,1998-01-14,Right,55840,326.221719821163,7.40712915817124,-3.26221719821163,5.698,-603.391892974102,411.388403092608,3.57257630928467,,2.74827777082636,-1.10087697937403,-241.80063,15.35
65,Hufflepuff,Jessica,Tanner,1999-12-11,Left,73353,376.585355935519,4.53730211450331,-3.76585355935519,6.843,-705.997676301582,385.062612503573,6.40180903331192,1071.02621790459,4.42061772532745,0.837367401946323,-243.33105,-80.51
66,Hufflepuff,Bart,Burnside,2000-03-20,Right,64219,405.575728778834,4.3478957474584,-4.05575728778834,5.813,-897.837096008296,465.411826568784,5.28601006727618,1075.48816382637,9.16509816861795,0.194103629509891,-243.61837,-6.49
67,Ravenclaw,Sydney,Lamar,1996-12-19,Right,30461,-608.160966136244,7.0302995461505,6.08160966136244,3.873,110.636573003993,540.539570096604,6.56496024887626,1038.71458499675,7.04992288671924,0.410949194412667,-229.90781,17.89
68,Gryffindor,Lesley,Conley,2000-02-08,Left,39225,546.104851558291,-5.17767682713171,-5.46104851558292,5.236,-478.205383946728,583.900978998639,-5.61965121280202,932.154754109009,1.37232228885662,1.17369339092293,-253.30962,213.83
69,Hufflepuff,Tia,Shoemaker,2000-01-03,Right,58659,558.985076852173,7.19928055730569,-5.58985076852174,3.763,-384.840171396478,366.743836031153,8.973601303381,1037.30671894493,4.9612273185229,1.33335675213003,-243.94171,-47.23
70,Ravenclaw,Milo,Wicks,1997-05-10,Right,,-189.270032559052,4.70611514106891,1.89270032559052,7.776,636.457836760555,618.412076869284,5.97201406648061,1065.54915346716,8.15717302903773,1.35785287207617,-230.66224,-34.52
71,Slytherin,Chauncey,Ambrose,1997-09-23,Right,56313,-463.650250060674,-2.45773811127964,4.63650250060674,-3.523,-497.696670211243,448.246917929377,3.03247151060114,1033.51242630067,7.35424322480125,-0.317054627602721,-248.22068,-13.85
72,Slytherin,Robbin,Cortez,1998-09-21,Right,37901,-508.019033812858,-4.07901887260941,5.08019033812858,-5.725,,407.140184097869,4.7358574923447,1052.0715585373,10.6570795915706,0.393042774755478,-249.20965,-39.65
73,Hufflepuff,Mellisa,Musgrove,1999-01-26,Left,46240,530.227319204472,6.55177636531795,-5.30227319204472,3.148,-576.48269541943,402.543860959896,1.51680806791283,1051.97801830597,3.84972794878481,0.455501406550293,-246.20151,57.61
74,Ravenclaw,Alexander,Ashworth,1998-10-12,Left,54847,-203.967377612194,3.99802115430687,2.03967377612194,7.718,806.681413559967,624.085895105152,5.78173164565182,1082.06725316031,9.0716992917147,0.0128978884220931,-230.17997,-51.5
75,Hufflepuff,Jessie,Madden,2000-11-11,Left,54986,440.843826230895,6.50602750558291,-4.40843826230895,4.794,-392.976039481527,411.039901904783,6.10032133002087,1036.15953414914,4.22140867435088,-1.15358757697733,-242.80759,-6.28
76,Ravenclaw,Marcos,Pfeifer,2000-11-15,Left,69442,-557.430814543727,7.6320786955099,5.57430814543727,5.269,638.149409344002,636.65092696425,4.51408271830388,1059.42150805701,5.99033224352778,0.135034986651606,-228.8198,-9.2
77,Ravenclaw,Bess,Browne,2001-08-14,Right,46350,-298.262271784038,5.54437673886142,2.98262271784038,6.658,432.33690063411,645.247265223469,4.79773992097545,1048.19085954329,8.73386163842589,0.145046096052541,-230.3282,32.77
78,Hufflepuff,Marilynn,Maki,2001-01-06,Left,70868,349.734806499602,2.26285493543134,-3.49734806499602,4.612,-569.174994080724,417.255630973614,4.85770946085492,1064.649952267,5.72447140749808,-0.389273449813378,-245.9729,-54.51
79,Hufflepuff,Seth,Conaway,1999-09-18,Right,68359,418.680781906473,2.39872674476422,-4.18680781906473,5.468,-521.31021493438,459.210017736861,5.05425348995533,1054.54401846802,6.78938950600612,1.10154547754128,-245.05387,-28.36
80,Hufflepuff,Concepcion,Wilkinson,1999-06-19,Left,46079,474.289848481537,2.82374628303843,-4.74289848481537,4.681,-404.595945435291,405.741898447349,6.15609373725499,1047.16354455395,6.48231210749842,0.627043784756528,-244.82078,-26.57
81,Slytherin,Antonette,Falcon,1999-08-01,Right,11030,,-6.84272284590324,7.84003089833522,-3.253,-659.414030242265,351.059963478086,9.85368742037005,1065.36673236193,13.4814180651804,0.460802979119217,-244.30023,-125.24
82,Slytherin,Arnold,Kersey,1998-06-12,Right,37887,-515.840921952671,-6.54022526552805,5.15840921952671,-7.491,-497.838042462867,370.481679740316,,1081.18656007254,12.161321413855,-1.21888379313292,-252.12602,-82.61
83,Gryffindor,Rosita,Riddick,2001-09-27,Right,56134,336.062336777806,-4.91739114513084,-3.36062336777806,5.402,-506.976994488196,634.171891753351,-4.24888947421704,971.019324205173,4.92850662965429,1.24510750096912,-250.44466,168.2
84,Hufflepuff,German,Bronson,2000-06-22,Right,58549,477.189159107278,4.66985097543669,-4.77189159107278,6.445,-742.848113287119,380.244978385842,4.88916042920332,1072.87517516573,4.85993934587315,-1.21334579909026,-244.21177,-39.78
85,Hufflepuff,Hallie,Slade,2001-04-10,Left,51592,404.630639549152,3.24816285978433,-4.04630639549152,6.27,-405.992851296367,453.912324980385,,1039.76051770639,6.34071468667336,0.0253093915092692,-242.60241,-11.22
86,Hufflepuff,Rufus,Geiger,2000-06-29,Right,20807,661.112043657965,5.07056539532259,-6.61112043657965,4.824,-275.129486768396,437.200197243905,3.8957049551159,1021.85470051469,5.90464614432084,0.0585876601711536,-243.93181,78.72
87,Hufflepuff,Shanna,Reuter,2000-02-06,Left,32491,793.075952330931,5.61389601816706,-7.93075952330931,4.977,-533.375188440754,428.349714248773,7.11113519799664,1041.24561632693,9.23555349175248,0.245646193736763,-244.50673,35.69
88,Hufflepuff,Marion,Galindo,2000-02-23,Left,47052,561.655919959636,6.15402375853702,-5.61655919959636,3.749,-246.931429736398,386.419126187964,4.24960081382498,1028.143468794,2.51042454045687,-0.851131757116144,-245.17349,17.14
89,Gryffindor,Aisha,Steffen,2000-02-08,Right,67687,239.695764212734,-3.46401913016895,-2.39695764212734,5.25,-602.366323548889,659.353355050966,-7.39216605112061,962.817228880637,2.14278257490599,-1.47460646995184,-250.64727,212.01
90,Gryffindor,Tabatha,Bartlett,2000-02-13,Right,47749,473.959464453747,-5.20328399205774,-4.73959464453747,5.213,-598.19967659892,598.217702494948,-5.72274264924429,931.540407178953,1.4396819350127,,-253.36058,213.28
91,Gryffindor,Oma,Prosser,1998-07-26,Left,60337,308.544617872377,-3.6096540503281,-3.08544617872377,6.883,-231.057459318709,636.07957198425,-4.93947967636312,984.255441883197,2.98381418702314,-0.914622739194992,-247.82592,147.71
92,Ravenclaw,Florine,Crabtree,1999-04-04,Left,38317,-345.891285494636,6.96155360435082,3.45891285494636,5.861,465.421011142633,593.066705947784,5.74675056765678,1047.76624200394,7.4960684415119,-0.871145360327613,-229.55943,18.77
93,Hufflepuff,Glenna,Rodman,2000-02-07,Right,86521,236.886191418494,3.88955560689006,-2.36886191418494,,-334.625567867944,408.331271928151,2.62598215048442,1048.56816045573,-0.246102644595311,0.15812860944425,-244.86997,-57.61
94,Hufflepuff,Sarah,Mccurdy,2000-05-24,Right,40041,423.729707278905,7.29709910953513,-4.23729707278905,5.725,-413.691370752825,392.295968009993,3.34715675072168,1037.22600730639,1.82864001714386,1.39601992628052,-241.87543,32.42
95,Hufflepuff,Vesta,Rodman,2000-02-19,Left,32995,737.295743572005,4.38000541080934,-7.37295743572005,5.415,-353.107007872564,298.21895991191,3.64439878849601,1051.5941183023,1.22891875349203,0.204894499710396,-246.92665,-22.77
96,Gryffindor,Gabriella,Snook,1999-04-05,Left,40377,529.189541128365,-3.78562215948796,-5.29189541128365,5.923,-645.383005654575,615.086331330189,-5.48298060885326,960.654975771011,4.16083242015669,-0.496053015772492,-251.26696,220.38
97,Ravenclaw,Billie,Irvine,1998-03-23,Left,48416,-454.697396844978,4.15218936827838,4.54697396844978,5.464,587.687705948023,609.114908350092,5.03551055018229,1064.40633737415,8.22070858427145,-0.758591977694355,-230.70509,-19.33
98,Slytherin,Allison,Ketchum,1998-07-20,Right,35796,-662.466794350965,-4.44291249271844,6.62466794350965,-3.542,-624.843510969085,374.422516668655,6.04329672986603,1057.43903696684,9.4489665650834,-0.939102056878127,-246.52071,-83.43
99,Hufflepuff,Dovie,Darden,1997-10-09,Right,72219,385.25969529996,5.81125399995247,-3.8525969529996,4.108,-507.416719240428,379.141466367792,3.67506946331026,1056.19242776228,1.92504827278658,0.337150428963254,-245.50725,-32.85
100,Gryffindor,Dianne,Gulley,1997-08-06,Left,32401,663.311457968789,-3.737958628152,-6.63311457968789,5.321,-355.913344098175,621.482954419568,-4.58539579746124,976.94472948134,6.46725617044759,0.8078199234012,-250.98496,209.29
101,Hufflepuff,Robbie,Waller,2000-06-10,Left,35880,571.75387451927,6.96277883903505,-5.7175387451927,4.667,-527.392044010041,384.62258254292,4.52514831130064,1045.38065188555,4.6089987042585,-1.09396953598604,-243.71814,32.63
102,Ravenclaw,Mariah,Allison,1999-09-08,Left,75206,-635.574201207035,5.43531313527975,6.35574201207035,4.203,538.239029329938,628.417176294029,3.6035049617138,1041.82508460138,4.72509335436953,0.163834123405219,-231.65535,-8.22
103,Hufflepuff,Eunice,Kimball,1997-09-14,Right,56467,529.303005228941,4.20482110356115,-5.29303005228941,6.89,-511.896277465743,386.227460206767,6.33526044564668,1054.67683531833,4.54017386486935,-0.980598477465928,-243.6346,-50.5
104,Ravenclaw,Jermaine,Hilton,2000-06-17,Right,57493,-316.958196304018,7.05676254903436,3.16958196304018,6.811,439.411684650839,635.974144011163,7.62717573859374,1051.75507775019,9.2709816832348,0.806468247776935,-228.81269,-9.05
105,Gryffindor,Darius,Pond,1999-06-09,Right,47435,514.268047085851,-6.93864145908022,-5.14268047085851,3.594,-299.584449583125,593.3684428139,-2.62310773397969,956.078922072012,5.49626430959432,-0.550871551806854,-253.83873,147.31
106,Slytherin,Wilma,Marroquin,1998-12-29,Right,58994,-529.833646297735,-7.55187845178843,5.29833646297735,-5.441,-420.006145572551,372.045831912993,7.03175027451941,1046.20613078716,9.48418739669755,1.76946469860244,-251.70157,-134.02
107,Gryffindor,Sylvester,Smallwood,1997-03-14,Right,66124,153.948892382286,-6.95460294321992,-1.53948892382286,4.563,-236.097682495628,573.552553844738,-4.50573104184149,,-0.0787688118551224,-0.813700872279548,-252.0244,109
108,Hufflepuff,Archie,Richardson,1999-11-07,Left,66029,418.797998688136,5.2419668253895,-4.18797998688136,3.957,-671.441428747041,438.31538669812,4.93583915429972,1060.12029627751,6.81291399259764,0.443006584572045,-244.95264,-4.13
109,Slytherin,Caryn,Irvine,1999-07-11,Left,65151,-340.477128771795,-9.5739244597425,3.40477128771795,-6.991,-240.384485387724,424.173710381717,5.35531193736152,1053.3427703322,11.9609507324792,0.185175780629479,-255.36437,-111.75
110,Slytherin,Octavia,Hamby,1997-08-04,Right,53672,-568.434752843854,-4.23952072860226,5.68434752843854,-7.214,-558.77762132197,350.110981657248,1.39073246972054,1087.12208014846,7.71758420683988,,-252.34285,-73.57
111,Ravenclaw,Elmo,Samuel,1997-10-09,Right,80698,-585.019129157796,3.18983448486825,5.85019129157796,4.982,1092.38861057287,623.565570688698,6.36425299052911,1068.60858028454,6.42416049334857,1.26668598298809,-230.46179,-107.59
112,Ravenclaw,Theresa,Bird,1998-10-13,Right,69117,-642.067682671198,6.70401036483773,6.42067682671198,4.078,586.253137833361,,2.85408662569012,1015.25399963071,1.36406191564586,,-231.57692,18.2
113,Ravenclaw,Lynda,Peace,2000-09-16,Left,63085,-535.963100849158,5.20495783861724,5.35963100849158,4.947,586.142251764863,606.48910681978,1.42284411849722,1032.63710031539,2.35283996580004,-0.592417309343203,-232.47674,22.38
114,Ravenclaw,Curt,Sorrell,1998-08-21,Right,99356,-643.168071306931,3.86453749027598,6.43168071306931,4.954,832.738262561762,635.244353191072,3.26240782817038,,2.17286268758371,1.34144306976047,-232.6804,-62.53
115,Gryffindor,Sharyn,Oconnell,1998-12-20,Right,32757,559.512523424785,-4.4599400373963,-5.59512523424785,5.432,-593.124986785504,565.642455735116,-5.26461626827674,962.29321702973,3.21633219617708,0.241191685630592,-252.34838,200.17
116,Ravenclaw,Roman,Stamps,1998-06-25,Right,43903,-615.776288445463,5.28213307092905,6.15776288445463,3.335,552.571149277358,571.362408703108,3.12488898013702,1029.53005423131,3.82508587837104,0.893679332480667,-231.97034,23.05
